Asset Name,Provider,Product,Asset_Name,Version_Major,Version_Minor,Description,Creation_Date,Provider_Id,Package Asset ID,Asset_Class,Verb,Content Tier,Content Tier,Content Tier,Content Tier,Content Tier,Content Tier,Metadata_Spec_Version,Provider,Product,Asset_Name,Version_Major,Version_Minor,Description,Creation_Date,Provider_ID,Title Asset ID,Asset_Class,Verb,Type,Title Sort,Subscriber_View_Limit,Title Brief,Title,Episode_Name,Episode_ID,Summary_Long,Summary_Medium,Summary_Short,Rating,MSO_Rating,Advisories,Audience,Closed Captioning,Run Time,Display_Run_Time,Year,Country_of_Origin,Actor,Actor,Actor,Actor,Actor,Actor,Actors Display,Writer_Display,Director,Producers,Studio,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Season_Premiere,Season_Finale,Show Type,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Chapter,Box_Office,Propagation_Priority,Billing ID,Start,End,Preview_Period,Home_Video_Window,Display_As_New,Display_As_Last_Chance,Maximum_Viewing_Length,Provider_QA_Contact,Contract_Name,Suggested Price,Distributor_Royalty_Percent,Distributor_Royalty_Minimum,Distributor_Royalty_Flat_Rate,Distributor_Name,Studio_Royalty_Percent,Studio_Royalty_Minimum,Studio_Royalty_Flat_Rate,Studio_Name,Recording Artist,Song Title,Programmer Call Letters,Provider,Product,Asset_Name,Version_Major,Version_Minor,Description,Creation_Date,Provider_Id,Asset_Id,Asset_Class,Verb,Encryption,Type,Audio_Type,Screen_Format,HD Content,Languages,Subtitle_Languages,Dubbed_Languages,Copy_Protection,Viewing_Can_Be_Resumed,Content_FileSize,Content_CheckSum,Bit Rate,Content_Value
VI_future__i_won-401370-137088-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401370,,,,,,Future: I Won,Future: I Won,,,,,Future-I Won,TV-14,,,,N,0:05:22,,2014,,Future; Kanye West,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/F,MC Music Choice/Hip-Hop and R&B/Hip-Hop Jamz,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/D-E-F,,,,,,,,,,,,,,,,,,,,,,music,music videos,r&b,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401370_movie.mpg
VI_a_alsina__get_ya-401371-137073-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401371,,,,,,A.Alsina: Get Ya Mo,A.Alsina: Get Ya Mo,,,,,August Alsina-Get Ya Money,TV-14,,,,N,0:04:53,,2014,,August Alsina; Fabolous,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/A,MC Music Choice/Hip-Hop and R&B/Hip-Hop Jamz,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/A-B-C,,,,,,,,,,,,,,,,,,,,,,music,music videos,r&b,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401371_movie.mpg
VI_j_aiko__comfort_-401372-137072-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401372,,,,,,J.Aiko: Comfort Inn,J.Aiko: Comfort Inn,,,,,Jhene Aiko-Comfort Inn Ending Freestyle,TV-14,,,,N,0:06:13,,2014,,Jhene Aiko,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/J,MC Music Choice/Hip-Hop and R&B/Hip-Hop Jamz,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/J-K-L,,,,,,,,,,,,,,,,,,,,,,music,music videos,r&b,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401372_movie.mpg
VI_rico_l__be_like-401373-137051-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401373,,,,,,Rico L: Be Like,Rico L: Be Like,,,,,Rico Love-Be Like,TV-14,,,,N,0:04:36,,2014,,Rico Love,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/Q-R,MC Music Choice/Hip-Hop and R&B/Hip-Hop Jamz,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/P-Q-R,,,,,,,,,,,,,,,,,,,,,,music,music videos,r&b,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401373_movie.mpg
VI_lil_boosie__show-401374-136958-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401374,,,,,,Lil Boosie: Show Da,Lil Boosie: Show Da,,,,,Lil Boosie-Show Da World,TV-14,,,,N,0:05:15,,2014,,Kiara; Lil Boosie; Webbie,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/L,MC Music Choice/Hip-Hop and R&B/Hip-Hop Jamz,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/J-K-L,,,,,,,,,,,,,,,,,,,,,,music,music videos,rap,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401374_movie.mpg
VI_young_money__sen-401375-137090-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401375,,,,,,Young Money: Senile,Young Money: Senile,,,,,Young Money-Senile,TV-MA,,,,N,0:04:11,,2014,,Lil Wayne; Nicki Minaj; Tyga; Young Money,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/W-X-Y-Z,MC Music Choice/Hip-Hop and R&B/New Videos,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/X-Y-Z,,,,,,,,,,,,,,,,,,,,,,music,music videos,rap,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401375_movie.mpg
VI_50_cent__hustler-401376-137048-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401376,,,,,,50 Cent: Hustler,50 Cent: Hustler,,,,,50 Cent-Hustler,TV-14,,,,N,0:03:58,,2014,,50 Cent,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/F,MC Music Choice/Hip-Hop and R&B/New Videos,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/D-E-F,,,,,,,,,,,,,,,,,,,,,,music,music videos,rap,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401376_movie.mpg
VI_w_khalifa__we_de-401377-137047-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401377,,,,,,W.Khalifa: We Dem,W.Khalifa: We Dem,,,,,Wiz Khalifa-We Dem Boyz,TV-14,,,,N,0:04:45,,2014,,Wiz Khalifa,,,,,,,,,,,MC Music Choice/MC Picks,MC Music Choice/All Artists/W-X-Y-Z,MC Music Choice/Hip-Hop and R&B/New Videos,MC Music Choice/Hip-Hop and R&B/Rap,MC Music Choice/Hip-Hop and R&B/All Artists/U-V-W,,,,,,,,,,,,,,,,,,,,,,music,music videos,rap,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401377_movie.mpg
VI_m_lamb__automati-401378-136839-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401378,,,,,,M.Lamb: Automatic,M.Lamb: Automatic,,,,,Miranda Lambert-Automatic,TV-PG,,,,N,0:05:03,,2014,,Miranda Lambert,,,,,,,,,,,MC Music Choice/Country/Today's Country,MC Music Choice/All Artists/M,MC Music Choice/Country/All Artists/M-N-O,,,,,,,,,,,,,,,,,,,,,,,,music,country,music videos,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401378_movie.mpg
VI_pharrell_happy_p-401449-137094-P,MUSIC_CHOICE,,,,,,,,,,,MusicChoice_45_35,,,,,,,,,,,,,,,MCTL2000000000401449,,,,,,Pharrell Happy Paro,Pharrell Happy Paro,,,,,Bart Baker-Happy Parody,TV-14,,,,N,0:03:22,,2014,,Bart Baker,,,,,,,,,,,MC Music Choice/Pop/New Videos,MC Music Choice/All Artists/O-P,MC Music Choice/Pop/Hit List,MC Music Choice/Pop/All Artists/P-Q-R,MC Music Choice/Maker Music,,,,,,,,,,,,,,,,,,,,,,music,music videos,pop,pop,,,,,,,,,,,,,,,,80000,25-Apr-14,4-May-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,N,,,,,,,,3750,MCMV2000000000401449_movie.mpg
